ka,ba,kc,bc,r,loss,success,time,run_idx,cycle
1.0024506924787688,-1.3172088974430602,0.8060131306800231,-0.6231571407505314,0.07206320620838368,10000000000.0,True,0.01259922981262207,0,3
1.0910209008251837,-0.4958093645677757,1.0268470537447643,-1.0755782307623938,0.06534666282727976,10000000000.0,True,0.007170200347900391,1,3
0.910717641105626,-0.10450087673633979,0.8119834042934347,-1.3132461532705917,0.011189108895546574,10000000000.0,True,0.009144306182861328,2,3
1.13032310258127,-0.6693149160069103,1.1945628651261626,-0.18631129167712102,0.01622558789137343,10000000000.0,True,0.008862972259521484,3,3
0.9069365093778093,-0.056353390016132376,1.0650394300212496,-1.2736555653783233,0.0305025739042597,10000000000.0,True,0.010978221893310547,4,3
1.1159978812802547,-0.46285205927761397,1.032603878764935,-1.3124523921246445,0.04928779704358101,10000000000.0,True,0.007706880569458008,5,3
1.1546212818426167,-0.32870584505867706,1.1861661544784923,-1.2800730342750364,0.0930710289132887,10000000000.0,True,0.011921405792236328,6,3
1.136862955203723,-1.3478232500831724,0.9015794277699416,-0.0021737617421317967,0.027771800128879965,10000000000.0,True,0.009800910949707031,7,3
0.9994763493141089,-0.35624529333215604,1.0270235678889554,-0.45700448883257283,0.04656227802668002,10000000000.0,True,0.008455276489257812,8,3
0.9848927631600812,-0.5104750447065107,0.9961479037554661,-1.0876775706118516,0.04559404166689192,10000000000.0,True,0.12916088104248047,0,54
0.9813445886731058,-0.18213429579559293,1.146367044508629,-0.6069795411830895,0.08194416345950492,10000000000.0,True,0.12464451789855957,1,54
1.1181643089679612,-0.29980204325967597,1.189769303620455,-1.2420650507906912,0.08584784802117705,10000000000.0,True,0.12166571617126465,2,54
0.9519970336584437,-1.0101315654764107,0.9232595543138106,-0.18160691929898087,0.010417283943702949,10000000000.0,True,0.1091604232788086,3,54
1.0117707152760833,-1.132599515525497,0.9421288830921872,-1.238217436578902,0.085679138900786,10000000000.0,True,0.12959718704223633,4,54
0.9402650603396554,-1.0845602632645144,1.1569628967017582,-1.2372014322872182,0.026026648638061936,10000000000.0,True,0.14043235778808594,5,54
1.0673490097870015,-1.2836935472735542,1.0894732559878415,-0.5859012413400531,0.053330245023177396,10000000000.0,True,0.11974668502807617,6,54
1.166643925011597,-0.19210231691016655,0.9753208763455989,-0.5269083174918234,0.06445281890934698,10000000000.0,True,0.1140129566192627,7,54
1.1934644230193725,-1.315752297118331,0.8549239959623014,-0.3814242999638875,0.03328319547321803,10000000000.0,True,0.1012887954711914,8,54
0.9734129725019434,-1.300117307312708,1.1095562265304946,-0.09717179434209977,0.071375879199489,10000000000.0,True,0.012146234512329102,0,105
1.073625849136836,-0.40719590965782126,0.8715073585640152,-0.8340806176434961,0.020309236260576426,10000000000.0,True,0.008493185043334961,1,105
1.1880578514131501,-1.3267938785682214,0.8568216785954231,-0.24976017319131416,0.070090652919016,10000000000.0,True,0.009234189987182617,2,105
0.947079010712768,-0.3054321959179429,1.100147403342693,-0.465162994442351,0.03464593450679622,10000000000.0,True,0.007884740829467773,3,105
1.042697014470331,-0.3868996919861951,1.1281484834637001,-0.6102262631057579,0.005051446619027889,10000000000.0,True,0.009711027145385742,4,105
1.1521403183571364,-0.17422249737819184,1.0545098412530187,-0.9828539497851676,0.09202524963442649,10000000000.0,True,0.00801229476928711,5,105
0.9226622852222022,-1.465470383112452,1.1118034479150292,-0.7957418593599923,0.03558612808530117,10000000000.0,True,0.00849771499633789,6,105
1.1629453342145397,-1.294241840844843,0.8846940138678947,-0.7660097175160667,0.08838259453906296,10000000000.0,True,0.008699893951416016,7,105
1.0134506202681435,-0.3217751352878857,0.9895497024456709,-0.8897148607407945,0.029702721641091313,10000000000.0,True,0.008320331573486328,8,105
1.179451628363164,-0.9018646830345682,1.1967570079168874,-1.37463800802858,0.09832290235372187,10000000000.0,True,0.010799169540405273,0,156
